fn,label,dur,fs,label_prefilter,pos
Audio S081_begging scream gradation.wav,begging scream gradation,1.2476145833333334,96000,begging scream gradation,0.6238072916666667
Audio S113_close call.wav,close call,0.3934166666666667,96000,close call,0.19670833333333335
Audio S074_begging scream.wav,begging scream,0.67990625,96000,begging scream,0.339953125
Audio S447_Distress call 2.wav,,1.10259375,96000,Distress call 2,0.551296875
Audio S387_wavering scream.wav,wavering scream,0.9702291666666667,96000,wavering scream,0.48511458333333335
Audio S145_contact call.wav,contact call,0.4956041666666667,96000,contact call,0.24780208333333334
Audio S242_hum.wav,hum,0.57059375,96000,hum,0.285296875
Audio S172_growl.wav,growl,0.6535729166666666,96000,growl,0.3267864583333333
Audio S086_begging scream gradation.wav,begging scream gradation,0.9018333333333334,96000,begging scream gradation,0.4509166666666667
Audio S066_begging scream.wav,begging scream,1.5503541666666667,96000,begging scream,0.7751770833333333
Audio S025_begging call.wav,begging call,0.4698645833333333,96000,begging call,0.23493229166666665
Audio S365_suckling call.wav,suckling call,2.4001875,96000,suckling call,1.20009375
Audio S423_whistle.wav,whistle,0.40960416666666666,96000,whistle,0.20480208333333333
Audio S238_hum.wav,hum,0.7195416666666666,48000,hum,0.3597708333333333
Audio S392_whine.wav,whine,0.4116458333333333,96000,whine,0.20582291666666666
Audio S030_begging call.wav,begging call,0.5053020833333334,96000,begging call,0.2526510416666667
Audio S211_hah.wav,hah,0.42984375,96000,hah,0.214921875
Audio S013_bark.wav,bark,0.5596666666666666,96000,bark,0.2798333333333333
Audio S055_begging scream.wav,begging scream,1.6793229166666668,96000,begging scream,0.8396614583333334
Audio S217_hah.wav,hah,0.3693125,96000,hah,0.18465625
Audio S122_contact call.wav,contact call,0.58525,48000,contact call,0.292625
Audio S419_whistle.wav,whistle,0.399625,96000,whistle,0.1998125
Audio S021_bark.wav,bark,0.35902083333333334,96000,bark,0.17951041666666667
Audio S385_wavering scream.wav,wavering scream,1.64665625,96000,wavering scream,0.823328125
Audio S347_snort.wav,snort,0.28758333333333336,48000,snort,0.14379166666666668
Audio S403_whine.wav,whine,0.7729479166666666,96000,whine,0.3864739583333333
Audio S330_snort.wav,snort,0.2995625,96000,snort,0.14978125
Audio S027_begging call.wav,begging call,0.5098854166666666,96000,begging call,0.2549427083333333
Audio S402_whine.wav,whine,1.2895729166666667,96000,whine,0.6447864583333334
Audio S355_snort.wav,snort,0.5262916666666667,96000,snort,0.26314583333333336
Audio S156_contact call gradation.wav,contact call gradation,0.5388645833333333,96000,contact call gradation,0.26943229166666666
Audio S137_contact call.wav,contact call,0.4345104166666667,96000,contact call,0.21725520833333334
Audio S095_begging scream gradation.wav,begging scream gradation,1.1994479166666667,96000,begging scream gradation,0.5997239583333334
Audio S260_hum gradation.wav,hum gradation,0.7240729166666666,96000,hum gradation,0.3620364583333333
Audio S309_Ascending scream.wav,Ascending scream,0.82296875,96000,Ascending scream,0.411484375
Audio S092_begging scream gradation.wav,begging scream gradation,0.8680520833333333,96000,begging scream gradation,0.43402604166666664
Audio S297_isolation call.wav,isolation call,1.2805833333333334,96000,isolation call,0.6402916666666667
Audio S213_hah.wav,hah,0.32165625,96000,hah,0.160828125
Audio S396_whine.wav,whine,1.0791666666666666,48000,whine,0.5395833333333333
Audio S304_Ascending scream.wav,Ascending scream,0.770875,96000,Ascending scream,0.3854375
Audio S073_begging scream.wav,begging scream,0.7643125,96000,begging scream,0.38215625
Audio S272_hum gradation.wav,hum gradation,2.55784375,96000,hum gradation,1.278921875
Audio S369_suckling call.wav,suckling call,0.8443229166666667,96000,suckling call,0.42216145833333335
Audio S079_begging scream gradation.wav,begging scream gradation,0.821875,96000,begging scream gradation,0.4109375
Audio S198_growl.wav,growl,1.8156875,96000,growl,0.90784375
Audio S018_bark.wav,bark,0.5190729166666667,96000,bark,0.25953645833333333
Audio S108_close call.wav,close call,0.4617395833333333,96000,close call,0.23086979166666666
Audio S443_begging call like.wav,,0.7289791666666666,96000,begging call like,0.3644895833333333
Audio S415_whistle.wav,whistle,0.44,96000,whistle,0.22
Audio S263_hum gradation.wav,hum gradation,0.6933854166666666,96000,hum gradation,0.3466927083333333
Audio S301_isolation call.wav,isolation call,1.13509375,96000,isolation call,0.567546875
Audio S308_Ascending scream.wav,Ascending scream,0.7906770833333333,96000,Ascending scream,0.39533854166666665
Audio S226_hum.wav,hum,0.45579166666666665,96000,hum,0.22789583333333333
Audio S168_contact call gradation.wav,contact call gradation,0.3630625,96000,contact call gradation,0.18153125
Audio S290_isolation call.wav,isolation call,1.3509375,96000,isolation call,0.67546875
Audio S078_begging scream gradation.wav,begging scream gradation,0.6637708333333333,96000,begging scream gradation,0.33188541666666665
Audio S390_wavering scream.wav,wavering scream,1.1264583333333333,96000,wavering scream,0.5632291666666667
Audio S424_whistle.wav,whistle,0.4443958333333333,96000,whistle,0.22219791666666666
Audio S064_begging scream.wav,begging scream,1.2403333333333333,96000,begging scream,0.6201666666666666
Audio S300_isolation call.wav,isolation call,0.8854791666666667,96000,isolation call,0.44273958333333335
Audio S028_begging call.wav,begging call,0.5316979166666667,96000,begging call,0.26584895833333333
Audio S216_hah.wav,hah,0.3702083333333333,96000,hah,0.18510416666666665
Audio S303_Ascending scream.wav,Ascending scream,0.780125,96000,Ascending scream,0.3900625
Audio S105_close call.wav,close call,0.7376666666666667,96000,close call,0.36883333333333335
Audio S196_growl.wav,growl,1.3986666666666667,48000,growl,0.6993333333333334
Audio S254_hum gradation.wav,hum gradation,1.4422916666666667,96000,hum gradation,0.7211458333333334
Audio S386_wavering scream.wav,wavering scream,1.0253020833333333,96000,wavering scream,0.5126510416666666
Audio S160_contact call gradation.wav,contact call gradation,0.43028125,96000,contact call gradation,0.215140625
Audio S429_whistle double.wav,whistle double,0.47017708333333336,96000,whistle double,0.23508854166666668
Audio S265_hum gradation.wav,hum gradation,0.6990625,96000,hum gradation,0.34953125
Audio S296_isolation call.wav,isolation call,1.3219791666666667,96000,isolation call,0.6609895833333334
Audio S327_snort.wav,snort,0.37923958333333335,96000,snort,0.18961979166666668
Audio S267_hum gradation.wav,hum gradation,1.1939375,48000,hum gradation,0.59696875
Audio S328_snort.wav,snort,0.3749375,96000,snort,0.18746875
Audio S356_snort.wav,snort,0.3899166666666667,96000,snort,0.19495833333333334
Audio S163_contact call gradation.wav,contact call gradation,0.36826041666666665,96000,contact call gradation,0.18413020833333332
Audio S038_begging call.wav,begging call,0.5305208333333333,96000,begging call,0.26526041666666667
Audio S033_begging call.wav,begging call,0.39958333333333335,96000,begging call,0.19979166666666667
Audio S399_whine.wav,whine,1.1997916666666666,96000,whine,0.5998958333333333
Audio S093_begging scream gradation.wav,begging scream gradation,0.8614791666666667,96000,begging scream gradation,0.43073958333333334
Audio S382_wavering scream.wav,wavering scream,0.92925,96000,wavering scream,0.464625
Audio S057_begging scream.wav,begging scream,2.070427083333333,96000,begging scream,1.0352135416666666
Audio S417_whistle.wav,whistle,0.3448125,96000,whistle,0.17240625
Audio S285_hum short.wav,,0.4990104166666667,96000,hum short,0.24950520833333334
Audio S395_whine.wav,whine,0.48878125,96000,whine,0.244390625
Audio S277_hum short.wav,,0.6177604166666667,96000,hum short,0.30888020833333335
Audio S100_begging scream gradation.wav,begging scream gradation,0.8344479166666666,96000,begging scream gradation,0.4172239583333333
Audio S452_whistle.wav,whistle,0.55984375,96000,whistle,0.279921875
Audio S430_whistle double.wav,whistle double,0.5591041666666666,96000,whistle double,0.2795520833333333
Audio S022_begging call.wav,begging call,0.6199895833333333,96000,begging call,0.30999479166666666
Audio S152_contact call gradation.wav,contact call gradation,0.45279166666666665,96000,contact call gradation,0.22639583333333332
Audio S378_underwater call.wav,,1.0503125,48000,underwater call,0.52515625
Audio S286_isolation call.wav,isolation call,1.54284375,96000,isolation call,0.771421875
Audio S239_hum.wav,hum,0.8638541666666667,96000,hum,0.43192708333333335
Audio S098_begging scream gradation.wav,begging scream gradation,0.7302083333333333,96000,begging scream gradation,0.3651041666666667
Audio S273_hum gradation.wav,hum gradation,2.26271875,96000,hum gradation,1.131359375
Audio S115_contact call.wav,contact call,0.7539375,96000,contact call,0.37696875
Audio S104_begging scream gradation.wav,begging scream gradation,0.6097916666666666,96000,begging scream gradation,0.3048958333333333
Audio S374_underwater call.wav,,1.1989791666666667,48000,underwater call,0.5994895833333334
Audio S157_contact call gradation.wav,contact call gradation,0.5337604166666666,96000,contact call gradation,0.2668802083333333
Audio S299_isolation call.wav,isolation call,1.2275,96000,isolation call,0.61375
Audio S130_contact call.wav,contact call,0.6077395833333333,96000,contact call,0.30386979166666667
Audio S364_suckling call.wav,suckling call,4.049302083333333,96000,suckling call,2.0246510416666665
Audio S162_contact call gradation.wav,contact call gradation,0.3046041666666667,96000,contact call gradation,0.15230208333333334
Audio S179_growl.wav,growl,2.0990520833333335,96000,growl,1.0495260416666667
Audio S044_begging scream.wav,begging scream,0.7140416666666667,96000,begging scream,0.35702083333333334
Audio S063_begging scream.wav,begging scream,1.44946875,96000,begging scream,0.724734375
Audio S435_whistle double.wav,whistle double,0.6291666666666667,96000,whistle double,0.3145833333333333
Audio S128_contact call.wav,contact call,0.5503958333333333,96000,contact call,0.27519791666666665
Audio S048_begging scream.wav,begging scream,1.04796875,96000,begging scream,0.523984375
Audio S225_hum.wav,hum,1.2670833333333333,96000,hum,0.6335416666666667
Audio S155_contact call gradation.wav,contact call gradation,0.8763854166666667,96000,contact call gradation,0.43819270833333335
Audio S005_bark.wav,bark,0.2845416666666667,96000,bark,0.14227083333333335
Audio S269_hum gradation.wav,hum gradation,1.6388958333333334,96000,hum gradation,0.8194479166666667
Audio S176_growl.wav,growl,2.6724791666666667,96000,growl,1.3362395833333334
Audio S338_snort.wav,snort,0.34030208333333334,96000,snort,0.17015104166666667
Audio S221_hum.wav,hum,0.89909375,96000,hum,0.449546875
Audio S161_contact call gradation.wav,contact call gradation,0.47389583333333335,96000,contact call gradation,0.23694791666666667
Audio S314_Ascending scream.wav,Ascending scream,0.5953125,96000,Ascending scream,0.29765625
Audio S020_bark.wav,bark,0.44990625,96000,bark,0.224953125
Audio S363_suckling call.wav,suckling call,0.7172291666666667,96000,suckling call,0.35861458333333335
Audio S201_hah.wav,hah,0.47628125,96000,hah,0.238140625
Audio S376_underwater call.wav,,1.4256875,48000,underwater call,0.71284375
Audio S149_contact call gradation.wav,contact call gradation,0.5289375,96000,contact call gradation,0.26446875
Audio S271_hum gradation.wav,hum gradation,1.5405,48000,hum gradation,0.77025
Audio S371_underwater call.wav,,0.71634375,96000,underwater call,0.358171875
Audio S258_hum gradation.wav,hum gradation,1.4126354166666666,96000,hum gradation,0.7063177083333333
Audio S200_growl.wav,growl,0.84115625,96000,growl,0.420578125
Audio S195_growl.wav,growl,1.1718958333333334,96000,growl,0.5859479166666667
Audio S214_hah.wav,hah,0.4772604166666667,96000,hah,0.23863020833333334
Audio S453_low whistle.wav,,0.5797708333333333,96000,low whistle,0.2898854166666667
Audio S246_hum.wav,hum,1.11953125,96000,hum,0.559765625
Audio S446_Distress call 1.wav,,0.81990625,96000,Distress call 1,0.409953125
Audio S264_hum gradation.wav,hum gradation,0.60753125,96000,hum gradation,0.303765625
Audio S245_hum.wav,hum,0.9070833333333334,96000,hum,0.4535416666666667
Audio S262_hum gradation.wav,hum gradation,1.56315625,96000,hum gradation,0.781578125
Audio S049_begging scream.wav,begging scream,1.11934375,96000,begging scream,0.559671875
Audio S439_whistle double.wav,whistle double,0.5083854166666667,96000,whistle double,0.25419270833333335
Audio S047_begging scream.wav,begging scream,1.6799791666666666,96000,begging scream,0.8399895833333333
Audio S278_hum short.wav,,0.5841979166666667,96000,hum short,0.2920989583333333
Audio S270_hum gradation.wav,hum gradation,1.7332916666666667,48000,hum gradation,0.8666458333333333
Audio S251_hum gradation.wav,hum gradation,2.1746041666666667,96000,hum gradation,1.0873020833333333
Audio S124_contact call.wav,contact call,0.4964791666666667,96000,contact call,0.24823958333333335
Audio S076_begging scream gradation.wav,begging scream gradation,0.93015625,96000,begging scream gradation,0.465078125
Audio S276_hum gradation.wav,hum gradation,0.8059270833333333,96000,hum gradation,0.40296354166666665
Audio S131_contact call.wav,contact call,0.6023854166666667,96000,contact call,0.30119270833333334
Audio S023_begging call.wav,begging call,0.9171666666666667,96000,begging call,0.45858333333333334
Audio S427_whistle.wav,whistle,0.3597916666666667,96000,whistle,0.17989583333333334
Audio S110_close call.wav,close call,0.4495208333333333,96000,close call,0.22476041666666666
Audio S431_whistle double.wav,whistle double,1.0809895833333334,96000,whistle double,0.5404947916666667
Audio S185_growl.wav,growl,1.8392604166666666,96000,growl,0.9196302083333333
Audio S091_begging scream gradation.wav,begging scream gradation,0.9083541666666667,96000,begging scream gradation,0.45417708333333334
Audio S170_contact call gradation.wav,contact call gradation,0.3389375,96000,contact call gradation,0.16946875
Audio S052_begging scream.wav,begging scream,0.67940625,96000,begging scream,0.339703125
Audio S075_begging scream gradation.wav,begging scream gradation,0.7292708333333333,96000,begging scream gradation,0.36463541666666666
Audio S071_begging scream.wav,begging scream,0.8291875,96000,begging scream,0.41459375
Audio S143_contact call.wav,contact call,0.3897395833333333,96000,contact call,0.19486979166666665
Audio S181_growl.wav,growl,1.0313229166666666,96000,growl,0.5156614583333333
Audio S204_hah.wav,hah,0.37397916666666664,96000,hah,0.18698958333333332
Audio S099_begging scream gradation.wav,begging scream gradation,0.8994166666666666,96000,begging scream gradation,0.4497083333333333
Audio S362_suckling call.wav,suckling call,0.47628125,96000,suckling call,0.238140625
Audio S377_underwater call.wav,,0.7306666666666667,48000,underwater call,0.36533333333333334
Audio S114_close call.wav,close call,0.40625,96000,close call,0.203125
Audio S229_hum.wav,hum,0.42509375,96000,hum,0.212546875
Audio S035_begging call.wav,begging call,0.4399895833333333,96000,begging call,0.21999479166666666
Audio S420_whistle.wav,whistle,0.37166666666666665,96000,whistle,0.18583333333333332
Audio S187_growl.wav,growl,1.8121041666666666,96000,growl,0.9060520833333333
Audio S208_hah.wav,hah,0.47403125,96000,hah,0.237015625
Audio S449_hum gradation like.wav,,0.7703125,96000,hum gradation like,0.38515625
Audio S444_contact call like.wav,,1.2985104166666666,96000,contact call like,0.6492552083333333
Audio S224_hum.wav,hum,0.8786666666666667,96000,hum,0.43933333333333335
Audio S331_snort.wav,snort,0.33979166666666666,96000,snort,0.16989583333333333
Audio S220_hum.wav,hum,0.5284895833333333,96000,hum,0.26424479166666665
Audio S019_bark.wav,bark,0.4633541666666667,96000,bark,0.23167708333333334
Audio S341_snort.wav,snort,0.3759166666666667,96000,snort,0.18795833333333334
Audio S408_whine.wav,whine,1.5504791666666666,96000,whine,0.7752395833333333
Audio S069_begging scream.wav,begging scream,0.9978125,96000,begging scream,0.49890625
Audio S227_hum.wav,hum,0.6324479166666667,96000,hum,0.31622395833333333
Audio S068_begging scream.wav,begging scream,0.9822708333333333,96000,begging scream,0.49113541666666666
Audio S174_growl.wav,growl,1.3874791666666666,96000,growl,0.6937395833333333
Audio S039_begging call.wav,begging call,0.5996770833333334,96000,begging call,0.2998385416666667
Audio S058_begging scream.wav,begging scream,1.5971770833333334,96000,begging scream,0.7985885416666667
Audio S250_hum gradation.wav,hum gradation,1.0218958333333332,96000,hum gradation,0.5109479166666666
Audio S070_begging scream.wav,begging scream,0.7390104166666667,96000,begging scream,0.36950520833333333
Audio S367_suckling call.wav,suckling call,0.7672395833333333,96000,suckling call,0.38361979166666665
Audio S136_contact call.wav,contact call,0.5061145833333334,96000,contact call,0.2530572916666667
Audio S109_close call.wav,close call,0.44945833333333335,96000,close call,0.22472916666666667
Audio S182_growl.wav,growl,1.1105416666666668,96000,growl,0.5552708333333334
Audio S414_whistle.wav,whistle,0.37975,96000,whistle,0.189875
Audio S165_contact call gradation.wav,contact call gradation,0.35475,96000,contact call gradation,0.177375
Audio S334_snort.wav,snort,0.4069375,48000,snort,0.20346875
Audio S007_bark.wav,bark,0.359125,96000,bark,0.1795625
Audio S140_contact call.wav,contact call,0.5404166666666667,96000,contact call,0.27020833333333333
Audio S422_whistle.wav,whistle,0.60175,96000,whistle,0.300875
Audio S138_contact call.wav,contact call,0.5100104166666667,96000,contact call,0.25500520833333334
Audio S274_hum gradation.wav,hum gradation,1.2308958333333333,96000,hum gradation,0.6154479166666667
Audio S438_whistle double.wav,whistle double,0.654,96000,whistle double,0.327
Audio S041_begging call.wav,begging call,0.48563541666666665,96000,begging call,0.24281770833333333
Audio S040_begging call.wav,begging call,0.5944895833333333,96000,begging call,0.2972447916666667
Audio S186_growl.wav,growl,0.9104895833333333,96000,growl,0.45524479166666665
Audio S433_whistle double.wav,whistle double,0.9993541666666667,96000,whistle double,0.4996770833333333
Audio S106_close call.wav,close call,0.3995,96000,close call,0.19975
Audio S428_whistle.wav,whistle,0.42428125,96000,whistle,0.212140625
Audio S189_growl.wav,growl,1.6926145833333333,96000,growl,0.8463072916666666
Audio S413_whistle.wav,whistle,0.4607604166666667,96000,whistle,0.23038020833333334
Audio S219_hum.wav,hum,0.6797395833333333,96000,hum,0.33986979166666664
Audio S117_contact call.wav,contact call,0.5614375,96000,contact call,0.28071875
Audio S037_begging call.wav,begging call,0.5460833333333334,96000,begging call,0.2730416666666667
Audio S017_bark.wav,bark,0.5095625,96000,bark,0.25478125
Audio S085_begging scream gradation.wav,begging scream gradation,0.7379895833333333,96000,begging scream gradation,0.36899479166666665
Audio S437_whistle double.wav,whistle double,0.7593333333333333,96000,whistle double,0.37966666666666665
Audio S406_whine.wav,whine,1.449625,96000,whine,0.7248125
Audio S026_begging call.wav,begging call,0.4643541666666667,96000,begging call,0.23217708333333334
Audio S008_bark.wav,bark,0.32177083333333334,96000,bark,0.16088541666666667
Audio S379_underwater call.wav,,1.8987083333333334,48000,underwater call,0.9493541666666667
Audio S282_hum short.wav,,0.911625,96000,hum short,0.4558125
Audio S061_begging scream.wav,begging scream,1.5127916666666668,96000,begging scream,0.7563958333333334
Audio S148_contact call gradation.wav,contact call gradation,0.4106666666666667,96000,contact call gradation,0.20533333333333334
Audio S177_growl.wav,growl,1.7182708333333334,96000,growl,0.8591354166666667
Audio S059_begging scream.wav,begging scream,1.1197916666666667,96000,begging scream,0.5598958333333334
Audio S210_hah.wav,hah,0.41459375,96000,hah,0.207296875
Audio S014_bark.wav,bark,0.64034375,96000,bark,0.320171875
Audio S375_underwater call.wav,,0.6740833333333334,48000,underwater call,0.3370416666666667
Audio S067_begging scream.wav,begging scream,0.8484270833333334,96000,begging scream,0.4242135416666667
